Project,Client,Description,Duration
sos2122-25,,08/03/22,01:12:01
sos2122-25,,11/03/22,02:40:00
sos2122-25,,16/05/22,07:42:31
sos2122-25,,23/05/22,05:37:55
sos2122-25,,24/05/22,06:17:46
sos2122-25,,25/05/22,05:32:40
sos2122-25,,26/05/22,09:06:33
sos2122-25,,27/06/22,04:28:11
sos2122-25,,28/05/22,04:07:27
sos2122-25,,31/03/22,02:02:16
sos2122-25,,Completar D03,04:33:23
sos2122-25,,Creacion API,06:00:06
sos2122-25,,D03,67:05:07
sos2122-25,,D03B,06:45:32
sos2122-25,,f03,01:40:28
sos2122-25,,f04-crear documento en google doc,00:19:05
sos2122-25,,lunes 7 marzo,00:50:35
sos2122-25,,TAREAS LUNES 14,04:34:51
sos2122-25,,,13:16:46
